Developers,Number of correctly implemented behaviors
Controlled group,4
Controlled group,12
Controlled group,3
Controlled group,2
Controlled group,2
Controlled group,4
Controlled group,10
Controlled group,3
Controlled group,5
Controlled group,1
Controlled group,2
Controlled group,7
Controlled group,10
Controlled group,10
Experimental group,4
Experimental group,4
Experimental group,5
Experimental group,3
Experimental group,12
Experimental group,9
Experimental group,17
Experimental group,5
Experimental group,6
Experimental group,2
Experimental group,4
Experimental group,11
Experimental group,13
Experimental group,14
